date,outlet_id,daypart,tickets,items,revenue_sgd
2024-01-01,OUT-01,Morning,122,168,762.73
2024-01-01,OUT-01,Midday,53,76,537.89
2024-01-01,OUT-01,Evening,17,27,164.35
2024-01-02,OUT-01,Morning,187,279,1184.16
2024-01-02,OUT-01,Midday,68,96,692.68
2024-01-02,OUT-01,Evening,26,37,247.83
2024-01-03,OUT-01,Morning,160,210,1024.48
2024-01-03,OUT-01,Midday,66,102,721.68
2024-01-03,OUT-01,Evening,27,41,263.55
2024-01-04,OUT-01,Morning,124,179,903.85
2024-01-04,OUT-01,Midday,64,92,714.09
2024-01-04,OUT-01,Evening,25,35,228.17
2024-01-05,OUT-01,Morning,190,278,1267.21
2024-01-05,OUT-01,Midday,83,118,894.31
2024-01-05,OUT-01,Evening,30,44,288.76
2024-01-06,OUT-01,Morning,66,102,422.55
2024-01-06,OUT-01,Midday,28,40,273.38
2024-01-06,OUT-01,Evening,10,14,96.41
2024-01-07,OUT-01,Morning,47,65,335.26
2024-01-07,OUT-01,Midday,20,31,226.98
2024-01-07,OUT-01,Evening,8,12,81.28
2024-01-08,OUT-01,Morning,170,247,1063.8
2024-01-08,OUT-01,Midday,62,86,628.4
2024-01-08,OUT-01,Evening,25,37,226.88
2024-01-09,OUT-01,Morning,196,273,1297.69
2024-01-09,OUT-01,Midday,81,125,847.29
2024-01-09,OUT-01,Evening,33,51,287.32
2024-01-10,OUT-01,Morning,198,273,1309.25
2024-01-10,OUT-01,Midday,88,127,894.92
2024-01-10,OUT-01,Evening,33,48,297.62
2024-01-11,OUT-01,Morning,176,251,1252.3
2024-01-11,OUT-01,Midday,88,117,906.04
2024-01-11,OUT-01,Evening,36,54,333.73
2024-01-12,OUT-01,Morning,160,219,1049.98
2024-01-12,OUT-01,Midday,74,107,721.62
2024-01-12,OUT-01,Evening,23,32,215.55
2024-01-13,OUT-01,Morning,52,74,366.79
2024-01-13,OUT-01,Midday,21,31,249.65
2024-01-13,OUT-01,Evening,9,13,82.61
2024-01-14,OUT-01,Morning,47,62,301.62
2024-01-14,OUT-01,Midday,20,31,223.46
2024-01-14,OUT-01,Evening,7,10,64.42
2024-01-15,OUT-01,Morning,178,266,1133.97
2024-01-15,OUT-01,Midday,60,91,677.52
2024-01-15,OUT-01,Evening,27,38,248.3
2024-01-16,OUT-01,Morning,193,283,1258.3
2024-01-16,OUT-01,Midday,81,111,906.12
2024-01-16,OUT-01,Evening,33,51,300.71
2024-01-17,OUT-01,Morning,140,213,950.7
2024-01-17,OUT-01,Midday,75,113,774.47
2024-01-17,OUT-01,Evening,26,36,246.83
2024-01-18,OUT-01,Morning,153,206,948.09
2024-01-18,OUT-01,Midday,64,88,672.4
