date,OUT-01,OUT-02,OUT-03,OUT-04,OUT-05
2024-01-31,53744.0,46616.0,45953.0,31504.0,0.0
2024-02-29,49725.0,43418.0,44547.0,29711.0,0.0
2024-03-31,51932.0,47630.0,47364.0,34843.0,0.0
2024-04-30,53412.0,45764.0,48654.0,33344.0,0.0
2024-05-31,54229.0,46796.0,49677.0,35726.0,0.0
2024-06-30,50965.0,45556.0,45584.0,35269.0,0.0
2024-07-31,55315.0,48409.0,48581.0,36779.0,0.0
2024-08-31,52530.0,48299.0,47079.0,38089.0,0.0
2024-09-30,50083.0,45214.0,43679.0,36634.0,0.0
2024-10-31,54212.0,44320.0,46138.0,37368.0,0.0
2024-11-30,48362.0,45761.0,35344.0,37488.0,0.0
2024-12-31,51839.0,46734.0,33956.0,39548.0,0.0
2025-01-31,51951.0,46489.0,35638.0,38309.0,0.0
2025-02-28,47764.0,42186.0,32165.0,38456.0,0.0
2025-03-31,50549.0,48397.0,34927.0,45970.0,20493.0
2025-04-30,53250.0,47146.0,33777.0,41892.0,19595.0
2025-05-31,52570.0,50158.0,33822.0,44123.0,21221.0
2025-06-30,53255.0,44896.0,32818.0,44700.0,0.0
