month,outlet_id,revenue_sgd
2024-01,OUT-01,53744.04
2024-01,OUT-02,46616.33
2024-01,OUT-03,45953.16
2024-01,OUT-04,31504.18
2024-02,OUT-01,49725.46
2024-02,OUT-02,43418.33
2024-02,OUT-03,44546.72
2024-02,OUT-04,29711.42
2024-03,OUT-01,51932.42
2024-03,OUT-02,47629.8
2024-03,OUT-03,47363.71
2024-03,OUT-04,34843.44
2024-04,OUT-01,53412.1
2024-04,OUT-02,45763.58
2024-04,OUT-03,48654.46
2024-04,OUT-04,33344.0
2024-05,OUT-01,54228.57
2024-05,OUT-02,46795.65
2024-05,OUT-03,49676.62
2024-05,OUT-04,35725.57
2024-06,OUT-01,50965.21
2024-06,OUT-02,45556.16
2024-06,OUT-03,45583.63
2024-06,OUT-04,35268.82
2024-07,OUT-01,55315.47
2024-07,OUT-02,48409.38
2024-07,OUT-03,48581.07
2024-07,OUT-04,36778.59
2024-08,OUT-01,52529.81
2024-08,OUT-02,48299.1
2024-08,OUT-03,47079.48
2024-08,OUT-04,38088.93
2024-09,OUT-01,50082.85
2024-09,OUT-02,45214.07
2024-09,OUT-03,43679.05
2024-09,OUT-04,36634.48
2024-10,OUT-01,54211.8
2024-10,OUT-02,44319.52
2024-10,OUT-03,46137.82
2024-10,OUT-04,37367.5
2024-11,OUT-01,48361.77
2024-11,OUT-02,45760.74
2024-11,OUT-03,35344.43
2024-11,OUT-04,37487.91
2024-12,OUT-01,51839.17
2024-12,OUT-02,46733.63
2024-12,OUT-03,33956.33
2024-12,OUT-04,39547.61
2025-01,OUT-01,51950.64
2025-01,OUT-02,46488.74
2025-01,OUT-03,35637.83
2025-01,OUT-04,38309.0
2025-02,OUT-01,47764.43
2025-02,OUT-02,42185.99
2025-02,OUT-03,32165.38
2025-02,OUT-04,38455.8
2025-03,OUT-01,50549.27
2025-03,OUT-02,48397.0
2025-03,OUT-03,34926.77
2025-03,OUT-04,45970.3
2025-03,OUT-05,20493.01
2025-04,OUT-01,53249.77
2025-04,OUT-02,47146.15
2025-04,OUT-03,33777.04
2025-04,OUT-04,41891.75
2025-04,OUT-05,19595.41
2025-05,OUT-01,52570.1
2025-05,OUT-02,50158.0
2025-05,OUT-03,33822.21
2025-05,OUT-04,44123.43
2025-05,OUT-05,21221.1
2025-06,OUT-01,53254.98
2025-06,OUT-02,44896.12
2025-06,OUT-03,32818.26
2025-06,OUT-04,44699.83
