outlet_id,week_start,staff_hours,headcount
OUT-01,2024-01-01,473.0,14
OUT-01,2024-01-08,421.6,12
OUT-01,2024-01-15,459.7,14
OUT-01,2024-01-22,446.1,13
OUT-01,2024-01-29,441.9,13
OUT-01,2024-02-05,483.3,14
OUT-01,2024-02-12,442.4,13
OUT-01,2024-02-19,390.4,11
OUT-01,2024-02-26,433.4,13
OUT-01,2024-03-04,409.8,12
OUT-01,2024-03-11,518.4,15
OUT-01,2024-03-18,462.2,14
OUT-01,2024-03-25,447.2,13
OUT-01,2024-04-01,468.9,14
OUT-01,2024-04-08,548.8,16
OUT-01,2024-04-15,447.9,13
OUT-01,2024-04-22,517.4,15
OUT-01,2024-04-29,498.1,15
OUT-01,2024-05-06,467.1,14
OUT-01,2024-05-13,476.7,14
OUT-01,2024-05-20,479.8,14
OUT-01,2024-05-27,410.5,12
OUT-01,2024-06-03,481.0,14
OUT-01,2024-06-10,507.1,15
OUT-01,2024-06-17,453.2,13
OUT-01,2024-06-24,433.1,13
OUT-01,2024-07-01,518.6,15
OUT-01,2024-07-08,474.9,14
OUT-01,2024-07-15,483.5,14
OUT-01,2024-07-22,494.4,15
OUT-01,2024-07-29,460.4,14
OUT-01,2024-08-05,415.6,12
OUT-01,2024-08-12,476.9,14
OUT-01,2024-08-19,524.3,15
OUT-01,2024-08-26,501.3,15
OUT-01,2024-09-02,455.9,13
OUT-01,2024-09-09,438.3,13
OUT-01,2024-09-16,465.8,14
OUT-01,2024-09-23,448.8,13
OUT-01,2024-09-30,459.8,14
OUT-01,2024-10-07,437.1,13
OUT-01,2024-10-14,452.2,13
OUT-01,2024-10-21,445.1,13
OUT-01,2024-10-28,468.5,14
OUT-01,2024-11-04,459.1,14
OUT-01,2024-11-11,432.1,13
OUT-01,2024-11-18,458.9,13
OUT-01,2024-11-25,452.3,13
OUT-01,2024-12-02,416.5,12
OUT-01,2024-12-09,485.0,14
OUT-01,2024-12-16,388.8,11
OUT-01,2024-12-23,412.1,12
OUT-01,2024-12-30,434.8,13
OUT-01,2025-01-06,441.1,13
OUT-01,2025-01-13,436.7,13
OUT-01,2025-01-20,488.6,14
OUT-01,2025-01-27,424.4,12
OUT-01,2025-02-03,484.1,14
OUT-01,2025-02-10,456.3,13
OUT-01,2025-02-17,493.1,15
OUT-01,2025-02-24,361.2,11
OUT-01,2025-03-03,505.4,15
OUT-01,2025-03-10,473.4,14
OUT-01,2025-03-17,480.3,14
OUT-01,2025-03-24,461.6,14
OUT-01,2025-03-31,495.6,15
OUT-01,2025-04-07,455.2,13
OUT-01,2025-04-14,488.9,14
OUT-01,2025-04-21,439.7,13
OUT-01,2025-04-28,444.3,13
OUT-01,2025-05-05,459.4,14
OUT-01,2025-05-12,409.9,12
OUT-01,2025-05-19,502.8,15
OUT-01,2025-05-26,411.9,12
OUT-01,2025-06-02,463.8,14
OUT-01,2025-06-09,415.6,12
OUT-01,2025-06-16,467.4,14
OUT-01,2025-06-23,421.4,12
OUT-02,2024-01-01,390.4,11
OUT-02,2024-01-08,441.5,13
OUT-02,2024-01-15,406.0,12
OUT-02,2024-01-22,427.0,13
OUT-02,2024-01-29,424.7,12
OUT-02,2024-02-05,387.8,11
OUT-02,2024-02-12,428.7,13
OUT-02,2024-02-19,411.5,12
OUT-02,2024-02-26,419.8,12
OUT-02,2024-03-04,390.1,11
OUT-02,2024-03-11,404.9,12
OUT-02,2024-03-18,381.7,11
OUT-02,2024-03-25,339.9,10
OUT-02,2024-04-01,398.8,12
OUT-02,2024-04-08,389.2,11
OUT-02,2024-04-15,423.3,12
OUT-02,2024-04-22,418.7,12
OUT-02,2024-04-29,453.4,13
OUT-02,2024-05-06,414.8,12
OUT-02,2024-05-13,442.4,13
OUT-02,2024-05-20,398.3,12
OUT-02,2024-05-27,357.3,11
OUT-02,2024-06-03,414.0,12
OUT-02,2024-06-10,436.8,13
OUT-02,2024-06-17,387.6,11
OUT-02,2024-06-24,368.0,11
OUT-02,2024-07-01,401.6,12
OUT-02,2024-07-08,412.2,12
OUT-02,2024-07-15,430.7,13
OUT-02,2024-07-22,386.9,11
OUT-02,2024-07-29,444.1,13
OUT-02,2024-08-05,414.1,12
OUT-02,2024-08-12,402.2,12
OUT-02,2024-08-19,424.4,12
OUT-02,2024-08-26,423.6,12
OUT-02,2024-09-02,436.2,13
OUT-02,2024-09-09,418.7,12
OUT-02,2024-09-16,397.8,12
OUT-02,2024-09-23,402.3,12
OUT-02,2024-09-30,370.3,11
OUT-02,2024-10-07,416.1,12
OUT-02,2024-10-14,406.9,12
OUT-02,2024-10-21,461.7,14
OUT-02,2024-10-28,390.2,11
OUT-02,2024-11-04,400.3,12
OUT-02,2024-11-11,389.5,11
OUT-02,2024-11-18,367.5,11
OUT-02,2024-11-25,367.9,11
OUT-02,2024-12-02,436.3,13
OUT-02,2024-12-09,356.3,10
OUT-02,2024-12-16,389.9,11
OUT-02,2024-12-23,443.8,13
OUT-02,2024-12-30,412.7,12
OUT-02,2025-01-06,458.2,13
OUT-02,2025-01-13,378.3,11
OUT-02,2025-01-20,417.9,12
OUT-02,2025-01-27,421.6,12
OUT-02,2025-02-03,417.0,12
OUT-02,2025-02-10,457.4,13
OUT-02,2025-02-17,405.9,12
OUT-02,2025-02-24,380.5,11
OUT-02,2025-03-03,451.4,13
OUT-02,2025-03-10,368.9,11
OUT-02,2025-03-17,414.6,12
OUT-02,2025-03-24,430.9,13
OUT-02,2025-03-31,412.6,12
OUT-02,2025-04-07,429.0,13
OUT-02,2025-04-14,395.5,12
OUT-02,2025-04-21,391.8,12
OUT-02,2025-04-28,412.9,12
OUT-02,2025-05-05,482.7,14
OUT-02,2025-05-12,414.4,12
OUT-02,2025-05-19,433.4,13
OUT-02,2025-05-26,439.0,13
OUT-02,2025-06-02,434.7,13
OUT-02,2025-06-09,464.2,14
OUT-02,2025-06-16,447.2,13
OUT-02,2025-06-23,437.8,13
OUT-03,2024-01-01,382.2,11
OUT-03,2024-01-08,401.7,12
OUT-03,2024-01-15,383.2,11
OUT-03,2024-01-22,391.5,12
OUT-03,2024-01-29,392.0,12
OUT-03,2024-02-05,371.6,11
OUT-03,2024-02-12,429.3,13
OUT-03,2024-02-19,406.9,12
OUT-03,2024-02-26,392.0,12
OUT-03,2024-03-04,413.6,12
OUT-03,2024-03-11,443.1,13
OUT-03,2024-03-18,429.5,13
OUT-03,2024-03-25,413.2,12
OUT-03,2024-04-01,454.0,13
OUT-03,2024-04-08,411.4,12
OUT-03,2024-04-15,438.3,13
OUT-03,2024-04-22,409.5,12
OUT-03,2024-04-29,446.1,13
OUT-03,2024-05-06,440.1,13
OUT-03,2024-05-13,426.5,13
OUT-03,2024-05-20,394.1,12
OUT-03,2024-05-27,449.1,13
OUT-03,2024-06-03,398.3,12
OUT-03,2024-06-10,463.4,14
OUT-03,2024-06-17,436.1,13
OUT-03,2024-06-24,428.1,13
OUT-03,2024-07-01,417.3,12
OUT-03,2024-07-08,390.9,11
OUT-03,2024-07-15,440.1,13
OUT-03,2024-07-22,439.3,13
OUT-03,2024-07-29,415.1,12
OUT-03,2024-08-05,397.4,12
OUT-03,2024-08-12,422.1,12
OUT-03,2024-08-19,424.2,12
OUT-03,2024-08-26,397.8,12
OUT-03,2024-09-02,374.6,11
OUT-03,2024-09-09,434.1,13
OUT-03,2024-09-16,426.2,13
OUT-03,2024-09-23,370.0,11
OUT-03,2024-09-30,406.4,12
OUT-03,2024-10-07,380.9,11
OUT-03,2024-10-14,428.3,13
OUT-03,2024-10-21,348.9,10
OUT-03,2024-10-28,390.6,11
OUT-03,2024-11-04,380.2,11
OUT-03,2024-11-11,399.0,12
OUT-03,2024-11-18,406.6,12
OUT-03,2024-11-25,437.1,13
OUT-03,2024-12-02,377.1,11
OUT-03,2024-12-09,399.6,12
OUT-03,2024-12-16,409.6,12
OUT-03,2024-12-23,396.4,12
OUT-03,2024-12-30,380.7,11
OUT-03,2025-01-06,407.0,12
OUT-03,2025-01-13,373.5,11
OUT-03,2025-01-20,386.4,11
OUT-03,2025-01-27,429.9,13
OUT-03,2025-02-03,400.0,12
