txn_id,txn_datetime,outlet_id,daypart,category,items,amount_sgd,payment_method
T502810,2025-06-16 07:00,OUT-03,Morning,Pastry,1,4.84,PayNow
T502747,2025-06-16 07:00,OUT-03,Morning,Coffee,1,5.71,Card
T501542,2025-06-16 07:01,OUT-02,Morning,Coffee,1,6.81,PayNow
T500019,2025-06-16 07:01,OUT-01,Morning,Pastry,1,4.83,Card
T502827,2025-06-16 07:01,OUT-03,Morning,Coffee,1,4.97,Cash
T503720,2025-06-16 07:02,OUT-04,Morning,Pastry,1,5.65,Card
T500132,2025-06-16 07:04,OUT-01,Morning,Beans (retail),1,23.92,Card
T501499,2025-06-16 07:06,OUT-02,Morning,Coffee,1,7.24,Card
T500068,2025-06-16 07:07,OUT-01,Morning,Coffee,1,5.57,Wallet
T500065,2025-06-16 07:08,OUT-01,Morning,Coffee,1,6.53,Card
T501498,2025-06-16 07:08,OUT-02,Morning,Coffee,1,4.94,PayNow
T501532,2025-06-16 07:08,OUT-02,Morning,Coffee,1,6.55,PayNow
T500156,2025-06-16 07:09,OUT-01,Morning,Pastry,1,5.7,PayNow
T500118,2025-06-16 07:09,OUT-01,Morning,Coffee,1,7.05,Wallet
T502774,2025-06-16 07:10,OUT-03,Morning,Coffee,1,5.52,Cash
T500083,2025-06-16 07:10,OUT-01,Morning,Pastry,1,4.81,Card
T500102,2025-06-16 07:10,OUT-01,Morning,Pastry,1,4.57,PayNow
T501543,2025-06-16 07:12,OUT-02,Morning,Pastry,1,6.69,PayNow
T501504,2025-06-16 07:12,OUT-02,Morning,Pastry,1,3.7,PayNow
T502761,2025-06-16 07:13,OUT-03,Morning,Coffee,1,9.22,Card
T503755,2025-06-16 07:13,OUT-04,Morning,Pastry,1,5.04,Card
T502779,2025-06-16 07:13,OUT-03,Morning,Pastry,1,6.25,PayNow
T500036,2025-06-16 07:13,OUT-01,Morning,Coffee,1,4.85,PayNow
T503752,2025-06-16 07:16,OUT-04,Morning,Coffee,1,8.76,Cash
T500007,2025-06-16 07:16,OUT-01,Morning,Coffee,1,6.97,Wallet
T502776,2025-06-16 07:17,OUT-03,Morning,Coffee,1,6.9,PayNow
T500073,2025-06-16 07:17,OUT-01,Morning,Pastry,1,5.67,PayNow
T501510,2025-06-16 07:17,OUT-02,Morning,Coffee,1,6.65,PayNow
T500079,2025-06-16 07:18,OUT-01,Morning,Pastry,1,5.84,PayNow
T500035,2025-06-16 07:18,OUT-01,Morning,Beans (retail),1,25.18,PayNow
T502766,2025-06-16 07:18,OUT-03,Morning,Tea,1,5.0,PayNow
T500051,2025-06-16 07:19,OUT-01,Morning,Coffee,1,6.24,PayNow
T500141,2025-06-16 07:19,OUT-01,Morning,Tea,1,4.11,Card
T500133,2025-06-16 07:19,OUT-01,Morning,Coffee,1,6.07,Card
T500130,2025-06-16 07:19,OUT-01,Morning,Coffee,1,7.06,PayNow
T502745,2025-06-16 07:19,OUT-03,Morning,Tea,1,5.84,Card
T500107,2025-06-16 07:19,OUT-01,Morning,Pastry,1,4.55,Card
T502796,2025-06-16 07:20,OUT-03,Morning,Coffee,1,6.94,Card
T501548,2025-06-16 07:21,OUT-02,Morning,Pastry,1,5.34,Card
T502818,2025-06-16 07:25,OUT-03,Morning,Coffee,1,6.18,Card
T500127,2025-06-16 07:25,OUT-01,Morning,Beans (retail),1,19.94,PayNow
T502789,2025-06-16 07:26,OUT-03,Morning,Coffee,1,6.58,PayNow
T503739,2025-06-16 07:26,OUT-04,Morning,Coffee,2,10.23,Cash
T502822,2025-06-16 07:27,OUT-03,Morning,Pastry,1,4.49,PayNow
T500030,2025-06-16 07:27,OUT-01,Morning,Coffee,1,6.59,Card
T500085,2025-06-16 07:28,OUT-01,Morning,Coffee,1,6.21,Cash
T501518,2025-06-16 07:28,OUT-02,Morning,Pastry,1,3.72,Card
T500020,2025-06-16 07:30,OUT-01,Morning,Tea,1,4.75,Card
T502767,2025-06-16 07:30,OUT-03,Morning,Pastry,1,6.87,Card
T500128,2025-06-16 07:31,OUT-01,Morning,Pastry,1,4.66,PayNow
T502820,2025-06-16 07:31,OUT-03,Morning,Beans (retail),1,24.29,Card
T500134,2025-06-16 07:32,OUT-01,Morning,Coffee,1,5.79,Card
T502798,2025-06-16 07:32,OUT-03,Morning,Coffee,1,5.3,PayNow
T500122,2025-06-16 07:33,OUT-01,Morning,Coffee,1,6.8,PayNow
T500135,2025-06-16 07:33,OUT-01,Morning,Food,1,14.09,PayNow
T502797,2025-06-16 07:33,OUT-03,Morning,Coffee,1,6.4,Card
T501502,2025-06-16 07:33,OUT-02,Morning,Coffee,1,7.5,Card
T500039,2025-06-16 07:34,OUT-01,Morning,Coffee,1,4.83,Wallet
T500006,2025-06-16 07:34,OUT-01,Morning,Pastry,1,7.59,PayNow
T500144,2025-06-16 07:34,OUT-01,Morning,Pastry,1,4.91,Wallet
T500081,2025-06-16 07:35,OUT-01,Morning,Coffee,1,7.4,Cash
T503723,2025-06-16 07:35,OUT-04,Morning,Tea,1,6.97,PayNow
T500038,2025-06-16 07:35,OUT-01,Morning,Coffee,1,5.63,PayNow
T500082,2025-06-16 07:35,OUT-01,Morning,Coffee,1,7.3,Card
T501497,2025-06-16 07:35,OUT-02,Morning,Coffee,1,5.58,PayNow
T503736,2025-06-16 07:38,OUT-04,Morning,Coffee,1,6.08,Wallet
T503744,2025-06-16 07:38,OUT-04,Morning,Tea,1,6.36,PayNow
T500119,2025-06-16 07:38,OUT-01,Morning,Coffee,1,6.9,Wallet
T500150,2025-06-16 07:39,OUT-01,Morning,Pastry,1,3.52,PayNow
T502755,2025-06-16 07:39,OUT-03,Morning,Coffee,1,6.11,Cash
T501544,2025-06-16 07:39,OUT-02,Morning,Coffee,1,5.53,Card
T501495,2025-06-16 07:40,OUT-02,Morning,Food,1,13.82,Card
T502795,2025-06-16 07:40,OUT-03,Morning,Coffee,1,6.22,Card
T501534,2025-06-16 07:41,OUT-02,Morning,Coffee,1,5.36,Wallet
T500129,2025-06-16 07:42,OUT-01,Morning,Pastry,1,4.62,Wallet
T500106,2025-06-16 07:42,OUT-01,Morning,Food,1,16.82,Card
T500025,2025-06-16 07:42,OUT-01,Morning,Tea,1,6.11,PayNow
T500055,2025-06-16 07:42,OUT-01,Morning,Coffee,1,7.23,Card
T500053,2025-06-16 07:44,OUT-01,Morning,Coffee,1,5.06,Card
T502751,2025-06-16 07:44,OUT-03,Morning,Coffee,1,6.63,PayNow
T500056,2025-06-16 07:44,OUT-01,Morning,Pastry,1,4.73,PayNow
T503746,2025-06-16 07:46,OUT-04,Morning,Pastry,1,5.73,Card
T503727,2025-06-16 07:46,OUT-04,Morning,Pastry,1,6.02,Wallet
T502762,2025-06-16 07:47,OUT-03,Morning,Coffee,1,5.77,PayNow
T500105,2025-06-16 07:47,OUT-01,Morning,Coffee,1,5.06,Card
T500060,2025-06-16 07:47,OUT-01,Morning,Coffee,1,5.2,Card
T503738,2025-06-16 07:49,OUT-04,Morning,Coffee,1,6.93,Card
T500142,2025-06-16 07:50,OUT-01,Morning,Coffee,1,5.9,Card
T500092,2025-06-16 07:50,OUT-01,Morning,Tea,1,5.37,Card
T502771,2025-06-16 07:51,OUT-03,Morning,Tea,1,4.64,Card
T500024,2025-06-16 07:51,OUT-01,Morning,Coffee,1,6.35,Wallet
T500049,2025-06-16 07:51,OUT-01,Morning,Coffee,1,7.33,Card
T503758,2025-06-16 07:53,OUT-04,Morning,Coffee,1,8.72,Card
T503770,2025-06-16 07:53,OUT-04,Morning,Coffee,1,9.22,Wallet
T503751,2025-06-16 07:53,OUT-04,Morning,Tea,1,6.6,Wallet
T500139,2025-06-16 07:55,OUT-01,Morning,Pastry,1,4.81,PayNow
T500145,2025-06-16 07:55,OUT-01,Morning,Tea,1,5.63,Cash
T502782,2025-06-16 07:57,OUT-03,Morning,Coffee,1,3.49,Wallet
T500013,2025-06-16 07:58,OUT-01,Morning,Coffee,1,6.28,Wallet
T500112,2025-06-16 07:59,OUT-01,Morning,Coffee,1,6.44,PayNow
T500143,2025-06-16 07:59,OUT-01,Morning,Pastry,1,5.51,PayNow
T500029,2025-06-16 08:02,OUT-01,Morning,Coffee,1,5.02,Wallet
T502816,2025-06-16 08:03,OUT-03,Morning,Coffee,1,6.97,Wallet
T501545,2025-06-16 08:03,OUT-02,Morning,Pastry,1,5.75,Card
T503725,2025-06-16 08:04,OUT-04,Morning,Coffee,1,6.07,Card
T501493,2025-06-16 08:05,OUT-02,Morning,Coffee,1,7.27,Cash
T503730,2025-06-16 08:05,OUT-04,Morning,Tea,1,4.18,Wallet
T500121,2025-06-16 08:06,OUT-01,Morning,Coffee,1,5.7,Card
T500096,2025-06-16 08:10,OUT-01,Morning,Pastry,1,2.71,Card
T501530,2025-06-16 08:10,OUT-02,Morning,Coffee,1,6.17,Card
T502826,2025-06-16 08:12,OUT-03,Morning,Coffee,1,5.36,Card
T502829,2025-06-16 08:12,OUT-03,Morning,Pastry,1,6.57,PayNow
T500115,2025-06-16 08:13,OUT-01,Morning,Coffee,1,6.46,Wallet
T501546,2025-06-16 08:14,OUT-02,Morning,Coffee,1,6.07,PayNow
T500072,2025-06-16 08:14,OUT-01,Morning,Pastry,1,6.66,Wallet
T502808,2025-06-16 08:15,OUT-03,Morning,Coffee,1,6.18,PayNow
T500088,2025-06-16 08:16,OUT-01,Morning,Pastry,1,6.15,Cash
T500152,2025-06-16 08:18,OUT-01,Morning,Tea,1,4.86,Wallet
T503768,2025-06-16 08:18,OUT-04,Morning,Coffee,1,8.37,Cash
T503718,2025-06-16 08:18,OUT-04,Morning,Coffee,1,8.47,PayNow
T500155,2025-06-16 08:20,OUT-01,Morning,Pastry,1,3.94,PayNow
T500063,2025-06-16 08:20,OUT-01,Morning,Coffee,1,5.78,Wallet
T500062,2025-06-16 08:20,OUT-01,Morning,Tea,1,4.98,Card
T500044,2025-06-16 08:23,OUT-01,Morning,Pastry,1,5.06,Wallet
T503731,2025-06-16 08:24,OUT-04,Morning,Coffee,1,7.27,Wallet
T500149,2025-06-16 08:25,OUT-01,Morning,Pastry,1,5.39,Cash
T501536,2025-06-16 08:26,OUT-02,Morning,Coffee,1,4.85,Wallet
T500099,2025-06-16 08:26,OUT-01,Morning,Food,1,16.71,Cash
T502809,2025-06-16 08:26,OUT-03,Morning,Pastry,1,4.93,PayNow
T500026,2025-06-16 08:28,OUT-01,Morning,Beans (retail),1,30.93,Card
T501527,2025-06-16 08:28,OUT-02,Morning,Coffee,1,6.18,PayNow
T502780,2025-06-16 08:29,OUT-03,Morning,Coffee,1,6.5,PayNow
T503749,2025-06-16 08:29,OUT-04,Morning,Coffee,1,9.5,Wallet
T503721,2025-06-16 08:33,OUT-04,Morning,Pastry,1,4.19,Card
T501529,2025-06-16 08:33,OUT-02,Morning,Coffee,1,5.78,PayNow
T500045,2025-06-16 08:36,OUT-01,Morning,Beans (retail),1,17.16,PayNow
T503761,2025-06-16 08:36,OUT-04,Morning,Pastry,1,7.3,Cash
T502830,2025-06-16 08:37,OUT-03,Morning,Coffee,1,4.12,Wallet
T502823,2025-06-16 08:37,OUT-03,Morning,Pastry,1,6.58,Card
T500103,2025-06-16 08:38,OUT-01,Morning,Pastry,1,5.09,Wallet
T503760,2025-06-16 08:38,OUT-04,Morning,Coffee,1,8.67,Cash
T501519,2025-06-16 08:38,OUT-02,Morning,Coffee,1,5.53,Cash
T500091,2025-06-16 08:39,OUT-01,Morning,Tea,1,4.76,Cash
T500110,2025-06-16 08:39,OUT-01,Morning,Coffee,1,4.77,PayNow
T500147,2025-06-16 08:39,OUT-01,Morning,Pastry,1,5.92,PayNow
T501524,2025-06-16 08:40,OUT-02,Morning,Coffee,1,5.57,Card
T503732,2025-06-16 08:40,OUT-04,Morning,Coffee,1,9.33,Wallet
T500067,2025-06-16 08:40,OUT-01,Morning,Coffee,1,6.93,PayNow
T502812,2025-06-16 08:41,OUT-03,Morning,Pastry,1,5.04,PayNow
T502794,2025-06-16 08:41,OUT-03,Morning,Pastry,1,5.87,PayNow
